"Year_of_Death","Month_of_Death","Month_Text","Deaths","Cancer_Deaths","Heart_Disease_Deaths","Pneumonia_and_Flu_Deaths","Stroke_Deaths","Covid19_Deaths","Septicemia_Deaths","COPD_Deaths"
"2016","01","January","8344","1718","2231","167","417","0","114","481"
"2016","02","February","7844","1570","2130","135","400","0","95","510"
"2016","03","March","8301","1768","2247","204","416","0","114","508"
"2016","04","April","8008","1683","2074","146","411","0","102","528"
"2016","05","May","7944","1789","2092","141","398","0","104","436"
"2016","06","June","7364","1627","1980","101","369","0","73","423"
"2016","07","July","7502","1727","1885","125","358","0","88","433"
"2016","08","August","7558","1737","1916","112","383","0","88","389"
"2016","09","September","7625","1733","1993","127","358","0","96","423"
"2016","10","October","8090","1787","2123","129","424","0","106","429"
"2016","11","November","7813","1756","2016","121","407","0","96","424"
"2016","12","December","8475","1718","2241","146","459","0","128","525"
"2017","01","January","8970","1860","2311","167","483","0","136","528"
"2017","02","February","7921","1579","2156","209","395","0","116","490"
"2017","03","March","8770","1768","2247","271","422","0","109","586"
"2017","04","April","8135","1599","2099","181","427","0","95","523"
"2017","05","May","7911","1724","2059","128","402","0","89","505"
"2017","06","June","7464","1670","1833","118","375","0","79","449"
"2017","07","July","7527","1751","1876","109","393","0","99","397"
"2017","08","August","7572","1663","1905","102","383","0","94","394"
"2017","09","September","7439","1669","1921","87","339","0","85","393"
"2017","10","October","7957","1743","2062","123","405","0","96","431"
"2017","11","November","7876","1660","2002","110","426","0","99","435"
"2017","12","December","8734","1730","2391","161","459","0","113","498"
"2018","01","January","9477","1842","2441","322","462","0","107","624"
"2018","02","February","8265","1682","2096","261","409","0","90","506"
"2018","03","March","8616","1746","2247","195","436","0","115","544"
"2018","04","April","8236","1588","2220","176","464","0","117","504"
"2018","05","May","7886","1668","2037","129","445","0","101","469"
"2018","06","June","7553","1712","1977","110","376","0","97","433"
"2018","07","July","7768","1710","1971","106","419","0","97","446"
"2018","08","August","7658","1794","1803","78","385","0","95","411"
"2018","09","September","7532","1726","1920","110","375","0","81","371"
"2018","10","October","8099","1777","2060","119","421","0","99","468"
"2018","11","November","8161","1807","2094","111","439","0","105","450"
"2018","12","December","8337","1690","2175","119","441","0","133","485"
"2019","01","January","8605","1738","2306","177","444","0","108","497"
"2019","02","February","7712","1547","2065","144","386","0","93","452"
"2019","03","March","8581","1714","2232","197","480","0","88","523"
"2019","04","April","7986","1603","1988","203","422","0","117","511"
"2019","05","May","8166","1738","2091","141","422","0","78","486"
"2019","06","June","7711","1632","1972","116","374","0","90","468"
"2019","07","July","7995","1843","2006","109","414","0","93","455"
"2019","08","August","7815","1754","1962","90","403","0","93","432"
"2019","09","September","7740","1745","1901","109","406","0","87","445"
"2019","10","October","8302","1784","2117","100","446","0","86","473"
"2019","11","November","8409","1690","2205","122","424","0","106","462"
"2019","12","December","8791","1835","2404","136","474","0","96","513"
"2020","01","January","8943","1846","2232","181","512","0","116","607"
"2020","02","February","8237","1619","2157","228","479","1","111","498"
"2020","03","March","9664","1765","2394","300","497","469","126","580"
"2020","04","April","13083","1644","2562","252","506","3443","120","547"
"2020","05","May","9328","1634","2069","132","474","1168","85","408"
"2020","06","June","8267","1630","1949","92","437","253","90","384"
"2020","07","July","8484","1755","2044","78","417","146","113","430"
"2020","08","August","8553","1751","2104","104","446","200","103","406"
"2020","09","September","8427","1716","2024","86","435","196","93","412"
"2020","10","October","9439","1801","2115","124","485","522","79","418"
"2020","11","November","10797","1679","2136","125","463","1905","106","400"
"2020","12","December","12186","1360","1675","104","393","2896","69","314"
"2021","01","January","10297","1688","2020","104","464","1517","88","415"
"2021","02","February","8300","114","111","10","31","545","2","33"
"2021","03","March","3855","0","0","0","0","160","0","0"
